temp_norm,humidity_norm,rain_norm,wind_norm,is_day,is_hot,is_humid,is_rainy,is_cloudy,is_stormy,personality_calm,personality_weird,personality_warm,personality_lonely,label,label_name,sample_type,scenario,contrast_group,personality_profile
0.509008,0.259376,0.055282,0.184816,1,0,0,0,0,0,0.205197,0.897014,0.207416,0.211291,2,strange,controlled_contrast,neutral_weather,neutral_weather_053,weird_high
0.724843,0.225954,0.028661,0.127734,1,0,0,0,0,0,0.179055,0.890101,0.190688,0.177007,2,strange,controlled_contrast,clear_day,clear_day_027,weird_high
0.632318,0.287109,0.389769,0.101144,0.0,0.0,0.0,1.0,1.0,0.0,0.932165,0.525469,0.229949,0.459271,0,quiet,random,,,
0.718291,0.857757,0.768851,0.021049,1.0,0.0,1.0,1.0,1.0,0.0,0.290173,0.757561,0.076593,0.445954,0,quiet,random,,,
0.4421,0.781513,0.466002,0.148312,0,0,1,1,1,0,0.169065,0.201807,0.894312,0.196705,3,lonely,controlled_contrast,rainy_room,rainy_room_033,warm_high
0.774286,0.758539,0.688528,0.163889,1.0,1.0,1.0,1.0,1.0,0.0,0.22382,0.675638,0.177501,0.682509,0,quiet,random,,,
0.25895,0.36406,0.700066,0.467163,1.0,0.0,0.0,1.0,1.0,1.0,0.191987,0.588243,0.338085,0.146031,2,strange,random,,,
0.71495,0.976674,0.897025,0.241049,1.0,0.0,1.0,1.0,1.0,0.0,0.476438,0.745358,0.177199,0.274218,0,quiet,random,,,
0.4421,0.781513,0.466002,0.148312,0,0,1,1,1,0,0.18546,0.202031,0.184302,0.901017,3,lonely,controlled_contrast,rainy_room,rainy_room_033,lonely_high
0.133436,0.356307,0.050315,0.505683,0.0,0.0,0.0,0.0,0.0,0.0,0.491532,0.783111,0.109826,0.614581,3,lonely,random,,,
0.522986,0.529271,0.30465,0.728363,1.0,0.0,0.0,1.0,1.0,0.0,0.179856,0.475992,0.56157,0.139707,1,warm,random,,,
0.707552,0.053688,0.022516,0.23667,0.0,0.0,0.0,0.0,0.0,0.0,0.387458,0.826566,0.364179,0.363024,2,strange,random,,,
0.414576,0.56281,0.817471,0.000737,1.0,0.0,0.0,1.0,1.0,0.0,0.487652,0.248188,0.084486,0.417109,0,quiet,random,,,
0.839791,0.885575,0.350489,0.069117,1.0,1.0,1.0,1.0,1.0,0.0,0.652093,0.632769,0.509121,0.937064,0,quiet,random,,,
0.784476,0.263571,0.418469,0.166146,0.0,1.0,0.0,1.0,1.0,0.0,0.273319,0.676826,0.821244,0.13686,1,warm,random,,,
0.349998,0.762942,0.199669,0.100273,0.0,0.0,1.0,0.0,1.0,0.0,0.239978,0.295998,0.274071,0.565499,3,lonely,random,,,
0.861126,0.361732,0.755043,0.664076,1.0,1.0,0.0,1.0,1.0,1.0,0.26023,0.305462,0.205384,0.738158,2,strange,random,,,
0.672686,0.795273,0.035902,0.982133,1.0,0.0,1.0,0.0,1.0,0.0,0.704195,0.263335,0.227327,0.150591,0,quiet,random,,,
0.828749,0.903937,0.044284,0.736414,0.0,1.0,1.0,0.0,1.0,0.0,0.603334,0.722431,0.410126,0.679025,3,lonely,random,,,
0.48791,0.828642,0.0594,0.096731,0,0,1,0,1,0,0.222203,0.894727,0.204744,0.180095,3,lonely,controlled_contrast,humid_night,humid_night_060,weird_high
0.518646,0.24433,0.059233,0.204622,1,0,0,0,0,0,0.198899,0.190475,0.877276,0.210136,1,warm,controlled_contrast,neutral_weather,neutral_weather_012,warm_high
0.231106,0.239981,0.001116,0.219694,1.0,0.0,0.0,0.0,0.0,0.0,0.519,0.757589,0.097928,0.259814,2,strange,random,,,
0.734043,0.875861,0.446275,0.447881,0.0,0.0,1.0,1.0,1.0,0.0,0.958079,0.164392,0.088047,0.089434,0,quiet,random,,,
0.012391,0.820255,0.517366,0.753872,1.0,0.0,1.0,1.0,1.0,0.0,0.799332,0.260051,0.283677,0.634415,0,quiet,random,,,
0.749741,0.249,0.028631,0.163618,1,0,0,0,0,0,0.208606,0.198723,0.215449,0.908432,3,lonely,controlled_contrast,clear_day,clear_day_000,lonely_high
0.257669,0.239031,0.236523,0.253053,0.0,0.0,0.0,1.0,1.0,0.0,0.126125,0.132384,0.636543,0.474027,3,lonely,random,,,
0.431151,0.396614,0.145837,0.785887,1.0,0.0,0.0,0.0,1.0,0.0,0.620628,0.172651,0.717731,0.562188,1,warm,random,,,
0.073578,0.387251,0.051933,0.160586,1.0,0.0,0.0,0.0,0.0,0.0,0.836285,0.265536,0.058456,0.421971,0,quiet,random,,,
0.467304,0.787746,0.737913,0.737994,0,0,1,1,1,1,0.920669,0.194131,0.19343,0.194906,0,quiet,controlled_contrast,stormy_weather,stormy_weather_013,calm_high
0.252183,0.107245,0.357797,0.604355,0.0,0.0,0.0,1.0,1.0,0.0,0.746946,0.591088,0.862513,0.256188,0,quiet,random,,,
0.222745,0.025488,0.282476,0.816938,1.0,0.0,0.0,1.0,1.0,0.0,0.754058,0.374643,0.399197,0.671822,0,quiet,random,,,
0.007626,0.409991,0.914376,0.774715,1.0,0.0,0.0,1.0,1.0,1.0,0.143117,0.155961,0.997782,0.274764,1,warm,random,,,
0.715088,0.220268,0.0,0.171592,1,0,0,0,0,0,0.206119,0.191474,0.916546,0.173604,1,warm,controlled_contrast,clear_day,clear_day_031,warm_high
0.186329,0.164986,0.357672,0.145389,1.0,0.0,0.0,1.0,1.0,0.0,0.348856,0.448458,0.810199,0.459374,1,warm,random,,,
0.843126,0.434066,0.657515,0.794716,0.0,1.0,0.0,1.0,1.0,1.0,0.270864,0.286966,0.351517,0.667801,3,lonely,random,,,
0.441294,0.626148,0.742633,0.680849,1.0,0.0,0.0,1.0,1.0,1.0,0.742796,0.589638,0.404944,0.655777,2,strange,random,,,
0.53047,0.44016,0.242833,0.347161,1.0,0.0,0.0,1.0,1.0,0.0,0.498273,0.090587,0.466897,0.250723,0,quiet,random,,,
0.490378,0.281281,0.054686,0.213294,1,0,0,0,0,0,0.212745,0.183496,0.906492,0.219566,1,warm,controlled_contrast,neutral_weather,neutral_weather_000,warm_high
0.621936,0.421785,0.379667,0.603872,1.0,0.0,0.0,1.0,1.0,0.0,0.754736,0.172943,0.591731,0.180303,0,quiet,random,,,
0.435629,0.934921,0.393523,0.126413,0.0,0.0,1.0,1.0,1.0,0.0,0.757637,0.588305,0.460915,0.458411,0,quiet,random,,,
0.236225,0.111106,0.596525,0.099406,1.0,0.0,0.0,1.0,1.0,0.0,0.666335,0.87077,0.414717,0.20555,0,quiet,random,,,
0.640475,0.766503,0.05496,0.376956,0.0,0.0,1.0,0.0,1.0,0.0,0.486847,0.319162,0.25578,0.710597,3,lonely,random,,,
0.176308,0.075664,0.589586,0.850866,0.0,0.0,0.0,1.0,1.0,0.0,0.145394,0.074822,0.313611,0.344343,3,lonely,random,,,
0.767701,0.194042,0.101037,0.562504,1.0,1.0,0.0,0.0,1.0,0.0,0.62533,0.458098,0.535461,0.25369,1,warm,random,,,
0.274273,0.705332,0.891394,0.464058,1.0,0.0,0.0,1.0,1.0,1.0,0.27774,0.262746,0.658886,0.279101,2,strange,random,,,
0.251912,0.964802,0.492139,0.737563,1.0,0.0,1.0,1.0,1.0,0.0,0.239921,0.72089,0.623089,0.400763,0,quiet,random,,,
0.975841,0.899999,0.758941,0.748276,1.0,1.0,1.0,1.0,1.0,1.0,0.59636,0.743683,0.593242,0.628196,2,strange,random,,,
0.834482,0.332595,0.706219,0.414184,0.0,1.0,0.0,1.0,1.0,0.0,0.579936,0.051207,0.623212,0.331133,3,lonely,random,,,
0.671457,0.673657,0.87531,0.571191,1.0,0.0,0.0,1.0,1.0,1.0,0.423087,0.43296,0.406997,0.665746,2,strange,random,,,
0.039034,0.478854,0.000209,0.592845,1.0,0.0,0.0,0.0,0.0,0.0,0.142986,0.525348,0.700874,0.105911,1,warm,random,,,
0.427381,0.453736,0.198009,0.145145,1.0,0.0,0.0,0.0,1.0,0.0,0.673126,0.369041,0.189637,0.155949,0,quiet,random,,,
0.901481,0.829946,0.806298,0.567293,1.0,1.0,1.0,1.0,1.0,1.0,0.53297,0.363711,0.626389,0.483573,0,quiet,random,,,
0.56159,0.448128,0.002003,0.889623,0.0,0.0,0.0,0.0,0.0,0.0,0.479836,0.801805,0.307956,0.68115,3,lonely,random,,,
0.415635,0.793366,0.435218,0.178557,0,0,1,1,1,0,0.185105,0.891779,0.21771,0.193892,3,lonely,controlled_contrast,rainy_room,rainy_room_048,weird_high
0.487949,0.226467,0.042621,0.224404,1,0,0,0,0,0,0.191016,0.213356,0.211417,0.898972,3,lonely,controlled_contrast,neutral_weather,neutral_weather_071,lonely_high
0.295357,0.895947,0.131283,0.12301,0.0,0.0,1.0,0.0,1.0,0.0,0.793543,0.205111,0.214392,0.582929,3,lonely,random,,,
0.909048,0.540375,0.269449,0.063019,1.0,1.0,0.0,1.0,1.0,0.0,0.815286,0.267231,0.054693,0.634749,0,quiet,random,,,
0.134504,0.977583,0.087503,0.299591,1.0,0.0,1.0,0.0,1.0,0.0,0.656762,0.296714,0.198909,0.617861,3,lonely,random,,,
0.457003,0.771335,0.721485,0.705015,0,0,1,1,1,1,0.894084,0.208769,0.183694,0.191256,0,quiet,controlled_contrast,stormy_weather,stormy_weather_053,calm_high
0.227105,0.49883,0.243173,0.004854,1.0,0.0,0.0,1.0,1.0,0.0,0.579848,0.613546,0.538941,0.451146,0,quiet,random,,,
0.677016,0.749202,0.813919,0.68691,0.0,0.0,0.0,1.0,1.0,1.0,0.682497,0.323386,0.501867,0.094809,2,strange,random,,,
0.948923,0.195911,0.859462,0.771226,1.0,1.0,0.0,1.0,1.0,1.0,0.087516,0.901785,0.331102,0.669349,2,strange,random,,,
0.209722,0.285095,0.645194,0.965285,1.0,0.0,0.0,1.0,1.0,0.0,0.250904,0.415833,0.362274,0.92858,3,lonely,random,,,
0.140845,0.22369,0.094982,0.630157,0.0,0.0,0.0,0.0,1.0,0.0,0.493915,0.530692,0.672346,0.475348,3,lonely,random,,,
0.229266,0.94242,0.660047,0.769491,1.0,0.0,1.0,1.0,1.0,1.0,0.176515,0.68822,0.529103,0.736053,2,strange,random,,,
0.665202,0.58269,0.336523,0.633544,0.0,0.0,0.0,1.0,1.0,0.0,0.565058,0.970084,0.138835,0.286975,3,lonely,random,,,
0.051315,0.280634,0.692539,0.781022,1.0,0.0,0.0,1.0,1.0,1.0,0.462688,0.740323,0.657115,0.884201,2,strange,random,,,
0.461911,0.644077,0.374936,0.037818,1.0,0.0,0.0,1.0,1.0,0.0,0.318086,0.151007,0.194742,0.921401,3,lonely,random,,,
0.435787,0.864616,0.105278,0.112967,0,0,1,0,1,0,0.898242,0.211633,0.200055,0.215505,0,quiet,controlled_contrast,humid_night,humid_night_056,calm_high
0.384143,0.412613,0.969026,0.708921,1.0,0.0,0.0,1.0,1.0,1.0,0.403302,0.828971,0.658174,0.72056,2,strange,random,,,
0.457032,0.81383,0.036315,0.116141,0,0,1,0,1,0,0.211739,0.217945,0.911272,0.197656,3,lonely,controlled_contrast,humid_night,humid_night_075,warm_high
0.322606,0.503361,0.947295,0.985064,1.0,0.0,0.0,1.0,1.0,1.0,0.220052,0.488316,0.617226,0.860633,2,strange,random,,,
0.096392,0.751184,0.006651,0.447064,1.0,0.0,1.0,0.0,0.0,0.0,0.529738,0.174341,0.066087,0.710617,0,quiet,random,,,
0.677712,0.223269,0.268489,0.043436,1.0,0.0,0.0,1.0,1.0,0.0,0.166677,0.772675,0.579549,0.47838,1,warm,random,,,
0.45253,0.820146,0.353905,0.099117,1.0,0.0,1.0,1.0,1.0,0.0,0.393557,0.810506,0.323475,0.514868,0,quiet,random,,,
0.270344,0.014603,0.046458,0.632665,1.0,0.0,0.0,0.0,0.0,0.0,0.656847,0.666444,0.610739,0.875164,1,warm,random,,,
0.539543,0.313632,0.003622,0.67643,1.0,0.0,0.0,0.0,0.0,0.0,0.728984,0.275246,0.143082,0.598551,1,warm,random,,,
0.480016,0.800876,0.467581,0.196078,0,0,1,1,1,0,0.189896,0.195502,0.923279,0.197355,3,lonely,controlled_contrast,rainy_room,rainy_room_024,warm_high
0.730549,0.81731,0.018007,0.556039,1.0,0.0,1.0,0.0,0.0,0.0,0.44814,0.525426,0.333941,0.46726,1,warm,random,,,
0.724441,0.289421,0.0,0.143672,1,0,0,0,0,0,0.22363,0.90263,0.178651,0.207173,2,strange,controlled_contrast,clear_day,clear_day_069,weird_high
0.718276,0.895589,0.288576,0.220603,1.0,0.0,1.0,1.0,1.0,0.0,0.106581,0.374832,0.382187,0.365418,0,quiet,random,,,
0.370599,0.86119,0.527607,0.126629,1.0,0.0,1.0,1.0,1.0,0.0,0.945757,0.394196,0.083838,0.341966,0,quiet,random,,,
0.528912,0.273113,0.057438,0.15931,1,0,0,0,0,0,0.216996,0.902876,0.191449,0.199761,2,strange,controlled_contrast,neutral_weather,neutral_weather_008,weird_high
0.428452,0.587313,0.000241,0.910332,1.0,0.0,0.0,0.0,0.0,0.0,0.305569,0.152193,0.6599,0.950197,1,warm,random,,,
0.748983,0.152535,0.328397,0.454042,1.0,0.0,0.0,1.0,1.0,0.0,0.487861,0.388219,0.156716,0.713254,0,quiet,random,,,
0.487139,0.265078,0.036201,0.172238,1,0,0,0,0,0,0.193367,0.201522,0.892731,0.210354,1,warm,controlled_contrast,neutral_weather,neutral_weather_013,warm_high
0.278343,0.830838,0.481876,0.550149,0.0,0.0,1.0,1.0,1.0,0.0,0.186839,0.077391,0.318848,0.74301,3,lonely,random,,,
0.178385,0.659542,0.296526,0.990401,1.0,0.0,0.0,1.0,1.0,0.0,0.245271,0.539498,0.84888,0.319788,1,warm,random,,,
0.559774,0.368686,0.000582,0.301435,0.0,0.0,0.0,0.0,0.0,0.0,0.088748,0.277498,0.695121,0.101363,1,warm,random,,,
0.278827,0.936058,0.661394,0.229046,1.0,0.0,1.0,1.0,1.0,0.0,0.807596,0.298533,0.749957,0.515482,0,quiet,random,,,
0.827521,0.166838,0.712649,0.053842,0.0,1.0,0.0,1.0,1.0,0.0,0.300745,0.386902,0.293391,0.362062,3,lonely,random,,,
0.986026,0.768058,0.273618,0.496258,1.0,1.0,1.0,1.0,1.0,0.0,0.872475,0.46671,0.280104,0.259567,0,quiet,random,,,
0.69811,0.20969,0.018532,0.110768,1,0,0,0,0,0,0.892795,0.205903,0.192816,0.201396,0,quiet,controlled_contrast,clear_day,clear_day_078,calm_high
0.018599,0.579664,0.718086,0.039509,0.0,0.0,0.0,1.0,1.0,0.0,0.604775,0.614484,0.122838,0.156711,0,quiet,random,,,
0.322112,0.949557,0.002167,0.682982,0.0,0.0,1.0,0.0,1.0,0.0,0.746964,0.570466,0.608603,0.345756,3,lonely,random,,,
0.491084,0.801383,0.72363,0.675825,0,0,1,1,1,1,0.204924,0.19785,0.20986,0.90181,3,lonely,controlled_contrast,stormy_weather,stormy_weather_006,lonely_high
0.715062,0.398701,0.641477,0.174109,1.0,0.0,0.0,1.0,1.0,0.0,0.609912,0.622679,0.483686,0.792673,0,quiet,random,,,
0.333976,0.214322,0.736045,0.619695,0.0,0.0,0.0,1.0,1.0,1.0,0.582546,0.450688,0.789584,0.505877,2,strange,random,,,
0.725937,0.227445,0.0,0.175715,1,0,0,0,0,0,0.1869,0.228608,0.900653,0.209582,1,warm,controlled_contrast,clear_day,clear_day_021,warm_high
0.873819,0.120604,0.687842,0.858632,0.0,1.0,0.0,1.0,1.0,1.0,0.563011,0.910566,0.628167,0.531321,2,strange,random,,,
0.391534,0.395704,0.729859,0.793465,0.0,0.0,0.0,1.0,1.0,1.0,0.205442,0.302934,0.223186,0.555475,3,lonely,random,,,
0.425528,0.164331,0.041019,0.040357,0.0,0.0,0.0,0.0,0.0,0.0,0.470019,0.259259,0.977132,0.43257,1,warm,random,,,
0.458185,0.795927,0.439585,0.194609,0,0,1,1,1,0,0.179096,0.197859,0.89518,0.223243,3,lonely,controlled_contrast,rainy_room,rainy_room_078,warm_high
0.193024,0.340649,0.074841,0.644616,0.0,0.0,0.0,0.0,0.0,0.0,0.232977,0.777589,0.397037,0.227596,2,strange,random,,,
0.178092,0.635743,0.251274,0.505905,0.0,0.0,0.0,1.0,1.0,0.0,0.706007,0.521274,0.35045,0.990183,3,lonely,random,,,
0.209533,0.357481,0.015048,0.031537,1.0,0.0,0.0,0.0,0.0,0.0,0.256292,0.212699,0.064521,0.482916,1,warm,random,,,
0.897399,0.378444,9.3e-05,0.19747,1.0,1.0,0.0,0.0,0.0,0.0,0.424249,0.562387,0.798629,0.681528,1,warm,random,,,
0.813021,0.045162,2e-06,0.461213,1.0,1.0,0.0,0.0,0.0,0.0,0.163578,0.283763,0.842668,0.621249,1,warm,random,,,
0.628532,0.367448,0.009812,0.780359,0.0,0.0,0.0,0.0,0.0,0.0,0.887558,0.44866,0.51661,0.655061,3,lonely,random,,,
0.46569,0.220096,0.021784,0.546906,1.0,0.0,0.0,0.0,0.0,0.0,0.403557,0.822073,0.603583,0.282602,1,warm,random,,,
0.885029,0.834493,0.039631,0.189242,1.0,1.0,1.0,0.0,1.0,0.0,0.221985,0.104727,0.08586,0.050907,1,warm,random,,,
0.973523,0.548347,0.901689,0.39409,1.0,1.0,0.0,1.0,1.0,0.0,0.472845,0.985277,0.580185,0.439619,1,warm,random,,,
0.455249,0.704892,0.634909,0.676219,1.0,0.0,0.0,1.0,1.0,0.0,0.191496,0.572261,0.702234,0.144163,1,warm,random,,,
0.477846,0.049521,0.762858,0.962637,1.0,0.0,0.0,1.0,1.0,1.0,0.128914,0.291932,0.747046,0.645176,2,strange,random,,,
0.179364,0.740264,0.953515,0.086885,0.0,0.0,0.0,1.0,1.0,0.0,0.704796,0.222938,0.714511,0.283482,0,quiet,random,,,
0.412162,0.807751,0.768984,0.755181,0,0,1,1,1,1,0.226636,0.900921,0.190101,0.212599,2,strange,controlled_contrast,stormy_weather,stormy_weather_041,weird_high
0.175214,0.907461,0.680743,0.589728,0.0,0.0,1.0,1.0,1.0,1.0,0.55923,0.990455,0.480578,0.524607,2,strange,random,,,
0.42489,0.757773,0.713745,0.75523,0,0,1,1,1,1,0.213364,0.900477,0.204678,0.220101,2,strange,controlled_contrast,stormy_weather,stormy_weather_055,weird_high
0.615544,0.273697,0.005471,0.119907,0.0,0.0,0.0,0.0,0.0,0.0,0.128529,0.457918,0.786802,0.646087,3,lonely,random,,,
0.949893,0.563954,0.255342,0.025307,0.0,1.0,0.0,1.0,1.0,0.0,0.275672,0.654166,0.144199,0.908223,3,lonely,random,,,
0.529332,0.411055,0.854412,0.879979,1.0,0.0,0.0,1.0,1.0,1.0,0.581426,0.89606,0.288388,0.484219,2,strange,random,,,
0.467324,0.994566,0.0095,0.004926,1.0,0.0,1.0,0.0,1.0,0.0,0.119399,0.429924,0.116053,0.919351,3,lonely,random,,,
0.707503,0.213104,0.0,0.205619,1,0,0,0,0,0,0.200505,0.896479,0.196632,0.208632,2,strange,controlled_contrast,clear_day,clear_day_064,weird_high
0.778882,0.392866,0.050515,0.704236,1.0,1.0,0.0,0.0,0.0,0.0,0.30515,0.567947,0.05099,0.98753,3,lonely,random,,,
0.055383,0.012135,0.080555,0.119808,0.0,0.0,0.0,0.0,1.0,0.0,0.983237,0.59505,0.639496,0.285135,0,quiet,random,,,
0.442843,0.976612,0.759114,0.901418,0.0,0.0,1.0,1.0,1.0,1.0,0.388222,0.820394,0.099223,0.055403,2,strange,random,,,
0.507265,0.809182,0.105979,0.08649,0,0,1,0,1,0,0.209415,0.906521,0.223787,0.219148,3,lonely,controlled_contrast,humid_night,humid_night_002,weird_high
0.548477,0.126884,0.005664,0.291742,0.0,0.0,0.0,0.0,0.0,0.0,0.145223,0.126281,0.160895,0.097666,3,lonely,random,,,
0.461782,0.79805,0.073417,0.078683,0,0,1,0,1,0,0.887871,0.201383,0.204905,0.197401,0,quiet,controlled_contrast,humid_night,humid_night_069,calm_high
0.359596,0.798173,0.639899,0.853337,1.0,0.0,1.0,1.0,1.0,0.0,0.256955,0.18506,0.197048,0.111899,0,quiet,random,,,
0.319654,0.142132,0.061793,0.646217,1.0,0.0,0.0,0.0,0.0,0.0,0.4296,0.853755,0.154829,0.246754,2,strange,random,,,
0.653912,0.002329,0.020281,0.418227,0.0,0.0,0.0,0.0,0.0,0.0,0.406538,0.889159,0.419874,0.209286,2,strange,random,,,
0.507126,0.606477,0.816699,0.1918,1.0,0.0,0.0,1.0,1.0,0.0,0.74143,0.466597,0.914977,0.288493,1,warm,random,,,
0.149421,0.682837,0.55154,0.003453,1.0,0.0,0.0,1.0,1.0,0.0,0.907361,0.292534,0.208852,0.383263,0,quiet,random,,,
0.0554,0.349378,0.643382,0.12785,0.0,0.0,0.0,1.0,1.0,0.0,0.423646,0.338381,0.617432,0.245238,3,lonely,random,,,
0.211142,0.875721,0.00028,0.092272,1.0,0.0,1.0,0.0,0.0,0.0,0.457254,0.331853,0.422167,0.628493,1,warm,random,,,
0.695564,0.883954,0.139316,0.003632,0.0,0.0,1.0,0.0,1.0,0.0,0.573324,0.866758,0.635573,0.615486,3,lonely,random,,,
0.369823,0.534439,0.497528,0.070206,1.0,0.0,0.0,1.0,1.0,0.0,0.424866,0.292741,0.29644,0.508004,0,quiet,random,,,
0.723248,0.273352,0.0,0.167705,1,0,0,0,0,0,0.212505,0.912214,0.205378,0.194378,2,strange,controlled_contrast,clear_day,clear_day_067,weird_high
0.670137,0.297536,0.910821,0.451999,0.0,0.0,0.0,1.0,1.0,1.0,0.065527,0.675556,0.404437,0.06749,2,strange,random,,,
0.505721,0.237277,0.046402,0.171662,1,0,0,0,0,0,0.187995,0.882936,0.211104,0.183209,1,warm,controlled_contrast,neutral_weather,neutral_weather_039,weird_high
0.975247,0.910279,0.694371,0.945428,0.0,1.0,1.0,1.0,1.0,1.0,0.328231,0.736219,0.282253,0.327115,2,strange,random,,,
0.642794,0.555574,0.958835,0.4983,1.0,0.0,0.0,1.0,1.0,1.0,0.44619,0.650672,0.240828,0.749092,2,strange,random,,,
0.993781,0.453181,0.683087,0.570208,0.0,1.0,0.0,1.0,1.0,1.0,0.284452,0.415208,0.983793,0.316898,1,warm,random,,,
0.277723,0.807285,0.065117,0.597931,1.0,0.0,1.0,0.0,0.0,0.0,0.490978,0.383517,0.410325,0.263378,1,warm,random,,,
0.737982,0.253172,0.021814,0.164692,1,0,0,0,0,0,0.912916,0.181206,0.197372,0.187637,0,quiet,controlled_contrast,clear_day,clear_day_022,calm_high
0.388553,0.189626,0.000179,0.13678,1.0,0.0,0.0,0.0,0.0,0.0,0.279113,0.578164,0.18245,0.571248,1,warm,random,,,
0.755608,0.388068,0.897991,0.998482,1.0,1.0,0.0,1.0,1.0,1.0,0.279281,0.666549,0.73082,0.653808,2,strange,random,,,
0.256743,0.697087,0.047819,0.288894,0.0,0.0,0.0,0.0,1.0,0.0,0.67015,0.604795,0.421349,0.702485,3,lonely,random,,,
0.357254,0.585876,0.191732,0.168242,0.0,0.0,0.0,0.0,1.0,0.0,0.472407,0.14717,0.721254,0.263471,3,lonely,random,,,
0.592278,0.190615,0.012361,0.951731,0.0,0.0,0.0,0.0,0.0,0.0,0.74234,0.862072,0.166316,0.407012,2,strange,random,,,
0.954536,0.078204,0.991751,0.782431,0.0,1.0,0.0,1.0,1.0,1.0,0.535335,0.784768,0.434681,0.289381,2,strange,random,,,
0.707933,0.218516,0.0,0.174989,1,0,0,0,0,0,0.19754,0.204626,0.197542,0.887241,3,lonely,controlled_contrast,clear_day,clear_day_041,lonely_high
0.346778,0.476964,0.144438,0.509109,0.0,0.0,0.0,0.0,1.0,0.0,0.321572,0.566023,0.802416,0.164464,3,lonely,random,,,
0.953073,0.550154,0.292077,0.291114,0.0,1.0,0.0,1.0,1.0,0.0,0.194953,0.629046,0.139179,0.153031,3,lonely,random,,,
0.707978,0.296497,0.688955,0.741677,0.0,0.0,0.0,1.0,1.0,1.0,0.410428,0.725437,0.519878,0.090393,2,strange,random,,,
0.894298,0.275163,0.368073,0.115317,0.0,1.0,0.0,1.0,1.0,0.0,0.482223,0.258593,0.092021,0.076428,0,quiet,random,,,
0.480401,0.244304,0.084152,0.223092,1,0,0,0,0,0,0.894099,0.196621,0.210103,0.21684,0,quiet,controlled_contrast,neutral_weather,neutral_weather_006,calm_high
0.837667,0.763075,0.046935,0.79807,1.0,1.0,1.0,0.0,1.0,0.0,0.324366,0.645221,0.729508,0.727422,1,warm,random,,,
0.034833,0.375011,0.876788,0.792426,0.0,0.0,0.0,1.0,1.0,1.0,0.343041,0.60193,0.861335,0.45931,2,strange,random,,,
0.46661,0.671973,0.055893,0.830418,0.0,0.0,0.0,0.0,0.0,0.0,0.242482,0.506583,0.267709,0.691772,3,lonely,random,,,
